Function Code;Modbus address;Object designation;WPMsystem;WPM 3;WPM 3i;Comments;Min. value;Max. value;Step size;Data type;Unit;Write/read (w/r);Coding
0x04;3639;VD 1/2 HEATING;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3640;VD 1 DHW;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3641;VD 2 DHW;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3642;VD 1/2 DHW;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3643;VD COOLING;x;x;;Runtime HP 6;;;;6;h;r;
0x04;3644;VD HEATING;x;;;Runtime HP 1;;;;6;h;r;
0x04;3645;VD DHW;x;;;Runtime HP 1;;;;6;h;r;
0x04;3646;VD HEATING;x;;;Runtime HP 2;;;;6;h;r;
0x04;3647;VD DHW;x;;;Runtime HP 2;;;;6;h;r;
0x04;3648;VD HEATING;x;;;Runtime HP 3;;;;6;h;r;
0x04;3649;VD DHW;x;;;Runtime HP 3;;;;6;h;r;
0x04;3650;VD HEATING;x;;;Runtime HP 4;;;;6;h;r;
0x04;3651;VD DHW;x;;;Runtime HP 4;;;;6;h;r;
0x04;3652;VD HEATING;x;;;Runtime HP 5;;;;6;h;r;
0x04;3653;VD DHW;x;;;Runtime HP 5;;;;6;h;r;
0x04;3654;VD HEATING;x;;;Runtime HP 6;;;;6;h;r;
0x04;3655;VD DHW;x;;;Runtime HP 6;;;;6;h;r;
